"kingdom","phylum","class","order","family","genus","valid_name","scientificname","adult","adult_simple","adult_tidy","valid_AphiaID","rank"
"Chromista","Ciliophora","Oligohymenophorea","Philasterida","Cinetochilidae","Cinetochilum","Cinetochilum","Cinetochilum","benthos","Macrobenthos","Macrobenthos"," 415205","Genus"
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","fish","fish","Fish"," 126417","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis pediculus","Cocconeis pediculus","benthos","Macrobenthos","Macrobenthos"," 149377","Species"
"Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Cochlodinium","Cochlodinium","Cochlodinium","phytoplankton","Other","Plankton"," 109474","Genus"
"Chromista","Ciliophora","Oligotrichea","Choreotrichida","Codonellopsidae","Codonellopsis","Codonellopsis","Codonellopsis","microplankton","Other","Plankton"," 204197","Genus"
"Chromista","Cercozoa","Thecofilosea","Phaeodendrida","Coelodendridae","Coelodendrum","Coelodendrum ramosissimum","Coelodendrum ramosissimum","zooplankton","Other","Plankton"," 409593","Species"
"Chromista","Ciliophora","Oligohymenophorea","Philasterida","Cohnilembidae","Cohnilembus","Cohnilembus verminus","Cohnilembus verminus","benthos","Macrobenthos","Macrobenthos"," 417440","Species"
"Animalia","Rotifera","Eurotatoria","Collothecaceae","Collothecidae","Collotheca","Collotheca campanulata","Collotheca campanulata","benthos","Macrobenthos","Macrobenthos"," 886998","Species"
"Chromista","Ciliophora","Heterotrichea","Heterotrichida","Condylostomatidae","Condylostoma","Condylostoma","Condylostoma","benthos","Macrobenthos","Macrobenthos"," 172316","Genus"
"Chromista","Ciliophora","Heterotrichea","Heterotrichida","Condylostomatidae","Condylostoma","Condylostoma magnum","Condylostoma magnum","benthos","Macrobenthos","Macrobenthos"," 417077","Species"
"Chromista","Ciliophora","Heterotrichea","Heterotrichida","Condylostomatidae","Condylostoma","Condylostoma spatiosum","Condylostoma spatiosum","benthos","Macrobenthos","Macrobenthos"," 427936","Species"
"Animalia","Rotifera","Eurotatoria","Flosculariaceae","Conochilidae","Conochilus","Conochilus coenobasis","Conochilus coenobasis","benthos","Macrobenthos","Macrobenthos","1795189","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Corethrales","Corethraceae","Corethron","Corethron","Corethron","phytoplankton","Other","Plankton"," 149109","Genus"
"Chromista","Heterokontophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus","Coscinodiscus","phytoplankton","Other","Plankton"," 148917","Genus"
"Chromista","Ciliophora","Oligohymenophorea","Sessilida","Vaginicolidae","Cothurnia","Cothurnia","Cothurnia","benthos","Macrobenthos","Macrobenthos"," 341291","Genus"
"Chromista","Ciliophora","Oligohymenophorea","Pleuronematida","Cyclidiidae","Cristigera","Cristigera","Cristigera","benthos","Macrobenthos","Macrobenthos"," 415247","Genus"
"Chromista","Cercozoa","Thecofilosea","Cryomonadida","Protaspidae","Cryothecomonas","Cryothecomonas","Cryothecomonas","zooplankton","Other","Plankton"," 118011","Genus"
"Chromista","Cercozoa","Thecofilosea","Cryomonadida","Protaspidae","Cryothecomonas","Cryothecomonas aestivalis","Cryothecomonas aestivalis","mixoplankton","Other","Plankton"," 118045","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Surirellales","Surirellaceae","Cymatopleura","Cymatopleura","Cymatopleura","phytoplankton","Other","Plankton"," 149007","Genus"
"Chromista","Heterokontophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cymbellonitzschia","Cymbellonitzschia banzuensis","Cymbellonitzschia banzuensis","phytoplankton","Other","Plankton","1307995","Species"
