"","AphiaID","adult","larva","larva_other","other","polygastric"
"122",102168,"macrobenthos",NA,NA,NA,NA
"123",102178,"macrobenthos",NA,NA,NA,NA
"124",102251,"macrobenthos",NA,NA,NA,NA
"125",102281,"macrobenthos",NA,NA,NA,NA
"126",102308,"macrobenthos",NA,NA,NA,NA
"127",102412,"macrobenthos",NA,NA,NA,NA
"128",102431,"macrobenthos",NA,NA,NA,NA
"129",102437,"macrobenthos",NA,NA,NA,NA
"130",102440,"macrobenthos",NA,NA,NA,NA
"131",102788,"macrobenthos",NA,NA,NA,NA
"132",102805,"macrobenthos",NA,NA,NA,NA
"133",102811,"macrobenthos",NA,NA,NA,NA
"134",102843,"macrobenthos",NA,NA,NA,NA
"135",103339,"algae",NA,NA,NA,NA
"136",103344,"algae",NA,NA,NA,NA
"137",103356,"zooplankton",NA,NA,NA,NA
"138",103424,NA,NA,NA,NA,NA
"139",103425,NA,NA,NA,NA,NA
"140",103436,"macrobenthos","zooplankton",NA,NA,NA
"141",103443,"macrobenthos","zooplankton",NA,NA,NA
"142",103447,"macrobenthos","zooplankton",NA,NA,NA
"143",103484,"macrobenthos","zooplankton",NA,NA,NA
"144",103579,"macrobenthos","zooplankton",NA,NA,NA
"145",103647,"macrobenthos","zooplankton",NA,NA,NA
"146",103719,"macrobenthos","zooplankton",NA,NA,NA
"147",103732,"macrobenthos","zooplankton",NA,NA,NA
"148",103776,"macrobenthos","zooplankton",NA,NA,NA
"149",103791,"macrobenthos","zooplankton",NA,NA,NA
"150",103796,"macrobenthos","zooplankton",NA,NA,NA
"151",103862,"macrobenthos","zooplankton",NA,NA,NA
"152",103882,"macrobenthos","zooplankton",NA,NA,NA
"153",104016,"zooplankton",NA,NA,NA,NA
"154",104152,"macroplankton",NA,NA,NA,NA
"155",104157,"macroplankton",NA,NA,NA,NA
"156",104196,"mesoplankton",NA,NA,NA,NA
"157",104464,"macroplankton",NA,NA,NA,NA
"158",104483,"macroplankton",NA,NA,NA,NA
"159",104496,"mesoplankton",NA,NA,NA,NA
"160",104499,"mesoplankton",NA,NA,NA,NA
"161",104501,"mesoplankton",NA,NA,NA,NA
"162",104878,"mesoplankton",NA,NA,NA,NA
"163",105085,NA,NA,NA,NA,NA
"164",105413,"benthos",NA,NA,NA,NA
"165",105498,NA,NA,NA,NA,NA
"166",105500,NA,NA,NA,NA,NA
"167",105513,"zooplankton",NA,NA,NA,NA
"168",105535,"zooplankton",NA,NA,NA,NA
"169",105571,"microplankton",NA,NA,NA,NA
"170",105598,"zooplankton",NA,NA,NA,NA
"171",105601,"zooplankton",NA,NA,NA,NA
"172",105645,"zooplankton",NA,NA,NA,NA
"173",105682,"zooplankton",NA,NA,NA,NA
"174",105684,"zooplankton",NA,NA,NA,NA
"175",105762,"fish",NA,NA,NA,NA
"176",106039,"benthos","zooplankton",NA,NA,NA
"177",106057,"benthos","zooplankton",NA,NA,NA
"178",106058,"benthos","zooplankton",NA,NA,NA
"179",106122,"benthos","zooplankton",NA,NA,NA
"180",106210,"benthos","zooplankton",NA,NA,NA
"181",106213,"benthos","zooplankton",NA,NA,NA
"182",106230,"benthos","zooplankton",NA,NA,NA
"183",106231,"benthos","zooplankton",NA,NA,NA
"184",106257,"benthos","zooplankton",NA,NA,NA
"185",106273,"mesoplankton",NA,NA,NA,NA
"186",106276,"mesoplankton",NA,NA,NA,NA
"187",106282,"phytoplankton",NA,NA,NA,NA
"188",106286,"phytoplankton",NA,NA,NA,NA
"189",106287,"phytoplankton",NA,NA,NA,NA
"190",106316,"phytoplankton",NA,NA,NA,NA
"191",106375,"macroplankton","zooplankton",NA,NA,NA
"192",106651,"mesoplankton",NA,NA,NA,NA
"193",106656,"mesoplankton",NA,NA,NA,NA
"194",106670,"benthos","zooplankton",NA,NA,NA
"195",106680,"macrobenthos","zooplankton",NA,NA,NA
"196",106702,"macrobenthos","zooplankton",NA,NA,NA
"197",106738,"benthos","zooplankton",NA,NA,NA
"198",106741,"macrobenthos","zooplankton",NA,NA,NA
"199",106769,"macrobenthos","zooplankton",NA,NA,NA
"200",106776,"macrobenthos",NA,NA,NA,NA
"201",106777,"macrobenthos",NA,NA,NA,NA
"202",106788,"macrobenthos",NA,NA,NA,NA
"203",107150,"macrobenthos",NA,NA,NA,NA
"204",107188,"macrobenthos",NA,"macroplankton",NA,NA
"205",107190,"macrobenthos",NA,"macroplankton",NA,NA
"206",107232,"macrobenthos","zooplankton",NA,NA,NA
"207",107253,"megabenthos",NA,NA,NA,NA
"208",107276,"megabenthos",NA,NA,NA,NA
"209",107319,"macrobenthos","zooplankton",NA,NA,NA
"210",107322,"macrobenthos","zooplankton",NA,NA,NA
"211",107381,"macrobenthos","zooplankton",NA,NA,NA
"212",107398,"macrobenthos","zooplankton",NA,NA,NA
