ASV_10250	"Tetrastemma vermiculus"
ASV_11670	"Tetrastemma vermiculus"
ASV_13864	"Tetrastemma vermiculus"
ASV_894	"Lineus viridis"
ASV_10137	"Siphonenteron bilineatum"
ASV_7096	"Phoronis hippocrepia"
ASV_3883	"Monocelis lineata"
ASV_4807	"Monocelis lineata"
ASV_26	"Cryptocotyle lingua"
ASV_253	"Cryptocotyle lingua"
ASV_591	"Cryptocotyle lingua"
ASV_1073	"Cryptocotyle lingua"
ASV_10225	"Cryptocotyle lingua"
ASV_14078	"Cryptocotyle lingua"
ASV_4074	"Notocelis gullmarensis"
ASV_4695	"Notocelis gullmarensis"
ASV_8353	"Notocelis gullmarensis"
ASV_1048	"Actinia"
ASV_763	"Alcyonium"
ASV_4542	"Hydra oligactis"
ASV_10909	"Tubularia indivisa"
ASV_302	"Coryne pusilla"
ASV_542	"Coryne pusilla"
ASV_2210	"Coryne pusilla"
ASV_13692	"Lizzia blondina"
ASV_2120	"Rhizorhagium arenosum"
ASV_4617	"Clava multicornis"
ASV_7189	"Amphinema dinema"
ASV_4142	"Leuckartiara octona"
ASV_6302	"Leuckartiara octona"
ASV_12044	"Leptothecata"
ASV_9407	"Gonothyraea loveni"
ASV_7963	"Eutonina indicans"
ASV_8156	"Halecium"
ASV_4615	"Kirchenpaueria pinnata"
ASV_8384	"Kirchenpaueria pinnata"
ASV_4004	"Mitrocomella brownei"
ASV_1079	"Clytia hemisphaerica"
ASV_5424	"Clytia hemisphaerica"
ASV_8029	"Clytia hemisphaerica"
ASV_9442	"Clytia hemisphaerica"
ASV_11973	"Clytia hemisphaerica"
ASV_12104	"Clytia hemisphaerica"
ASV_5032	"Clytia paulensis"
ASV_9822	"Clytia paulensis"
ASV_767	"Obeliidae"
ASV_7128	"Obeliidae"
ASV_400	"Obelia dichotoma"
ASV_556	"Obelia dichotoma"
ASV_2927	"Obelia dichotoma"
ASV_7232	"Obelia dichotoma"
ASV_9313	"Obelia dichotoma"
ASV_14030	"Obelia dichotoma"
ASV_12179	"Nemertesia"
ASV_13713	"Nemertesia ramosa"
ASV_11757	"Plumularia setacea"
ASV_653	"Dynamena pumila"
ASV_2653	"Dynamena pumila"
ASV_6163	"Gonionemus vertens"
ASV_13190	"Cyanea"
ASV_43	"Cyanea capillata"
ASV_620	"Cyanea capillata"
ASV_4780	"Cyanea capillata"
ASV_875	"Aurelia aurita"
ASV_1259	"Aurelia aurita"
ASV_1396	"Aurelia aurita"
ASV_1582	"Aurelia aurita"
ASV_5399	"Aurelia aurita"
ASV_5862	"Aurelia aurita"
ASV_7820	"Aurelia aurita"
ASV_12404	"Aurelia aurita"
ASV_5181	"Craterolophus convolvulus"
ASV_12428	"Craterolophus convolvulus"
ASV_5406	"Cliona"
ASV_9554	"Haliclona cinerea"
ASV_3808	"Haliclona fascigera"
ASV_2569	"Haliclona oculata"
ASV_4039	"Haliclona oculata"
ASV_2400	"Pachychalina tenera"
ASV_10938	"Isodictya elastica"
ASV_13300	"Isodictya elastica"
ASV_6431	"Mycale cecilia"
ASV_11996	"Spongillidae"
ASV_55	"Halichondria bowerbanki"
ASV_514	"Halichondria bowerbanki"
ASV_2452	"Halichondria bowerbanki"
ASV_3622	"Halichondria bowerbanki"
ASV_4985	"Halichondria bowerbanki"
ASV_77	"Halichondria panicea"
ASV_1092	"Halichondria panicea"
ASV_1935	"Halichondria panicea"
ASV_343	"Halichondria sp. USNM IZ 1517735"
ASV_181	"Hymeniacidon"
ASV_9159	"Hemiasterellidae"
ASV_968	"Halisarca dujardinii"
ASV_6344	"Halisarca dujardinii"
ASV_53	"Oscarella"
ASV_1318	"Oscarella"
ASV_669	"Oscarella balibaloi"
ASV_4806	"Oscarella balibaloi"
ASV_351	"Oscarella viridis"
ASV_7202	"Oscarella viridis"
ASV_5049	"Boreophyllum"
ASV_12885	"Boreophyllum"
ASV_1445	"Neoporphyra haitanensis"
ASV_730	"Porphyra"
ASV_1224	"Porphyra"
ASV_7836	"Porphyra"
ASV_8206	"Porphyra"
ASV_13920	"Porphyra"
ASV_1359	"Porphyra dioica"
ASV_5396	"Pyropia leucosticta"
ASV_7430	"Pyropia leucosticta"
ASV_12263	"Pyropia leucosticta"
ASV_2505	"Ahnfeltia plicata"
ASV_9103	"Ahnfeltia plicata"
ASV_41	"Corallina"
ASV_161	"Corallina officinalis"
ASV_639	"Corallina officinalis"
ASV_762	"Corallina officinalis"
ASV_969	"Corallina officinalis"
ASV_2307	"Corallina officinalis"
ASV_5536	"Corallina officinalis"
ASV_13378	"Lithophyllum hibernicum"
ASV_679	"Lithophyllum orbiculatum"
ASV_914	"Lithophyllum orbiculatum"
ASV_6970	"Lithothamnion erinaceum"
ASV_303	"Phymatolithon lenormandii"
ASV_428	"Phymatolithon lenormandii"
ASV_1099	"Phymatolithon lenormandii"
ASV_1841	"Phymatolithon lenormandii"
ASV_2392	"Phymatolithon purpureum"
ASV_3623	"Hildenbrandia rubra"
ASV_3859	"Hildenbrandia rubra"
ASV_8712	"Hildenbrandia rubra"
ASV_10453	"Hildenbrandia rubra"
ASV_301	"Acrochaetium secundatum"
ASV_1884	"Acrochaetium secundatum"
ASV_2857	"Acrochaetium secundatum"
ASV_3739	"Acrochaetium secundatum"
ASV_10068	"Audouinella hermannii"
ASV_5494	"Virescentia helminthosa"
ASV_6786	"Colaconema daviesii"
ASV_12015	"Neoizziella asiatica"
ASV_1775	"Rhodothamniella floridula"
ASV_8025	"Rhodothamniella floridula"
ASV_10073	"Rhodothamniella floridula"
ASV_6700	"Thorea hispida"
ASV_4773	"Bonnemaisonia asparagoides"
ASV_3542	"Bonnemaisonia hamifera"
ASV_1262	"Ceramium secundatum"
ASV_8062	"Ceramium shuttleworthianum"
ASV_12173	"Ceramium virgatum"
ASV_13800	"Ceramium virgatum"
ASV_1544	"Pterothamnion plumula"
ASV_13234	"Ptilota gunneri"
ASV_11924	"Delesseriaceae"
ASV_5671	"Cryptopleura ramosa"
ASV_5476	"Delesseria sanguinea"
ASV_6592	"Membranoptera alata"
ASV_892	"Osmundea"
ASV_293	"Osmundea oederi"
ASV_9019	"Osmundea oederi"
ASV_175	"Osmundea pinnatifida"
ASV_325	"Leptosiphonia brodiei"
ASV_1994	"Melanothamnus harveyi"
ASV_12424	"Polysiphonia elongata"
ASV_611	"Polysiphonia fibrata"
ASV_8595	"Polysiphonia stricta"
