ASV_9055	"Phorcus lineatus"
ASV_1390	"Steromphala cineraria"
ASV_2572	"Steromphala cineraria"
ASV_3670	"Steromphala cineraria"
ASV_4187	"Steromphala cineraria"
ASV_7026	"Steromphala cineraria"
ASV_10108	"Steromphala cineraria"
ASV_10638	"Steromphala cineraria"
ASV_945	"Steromphala umbilicaris"
ASV_2716	"Steromphala umbilicaris"
ASV_6116	"Steromphala umbilicaris"
ASV_6192	"Steromphala umbilicaris"
ASV_9552	"Steromphala umbilicaris"
ASV_1946	"Acanthochitona crinita"
ASV_15225	"Acanthochitona crinita"
ASV_3267	"Lepidochitona cinerea"
ASV_5654	"Lepidochitona cinerea"
ASV_16633	"Lepidochitona cinerea"
ASV_10399	"Nemertea"
ASV_8182	"Emplectonema gracile"
ASV_10408	"Tetrastemma melanocephalum"
ASV_4692	"Lineus viridis"
ASV_232	"Siphonenteron bilineatum"
ASV_1170	"Siphonenteron bilineatum"
ASV_12249	"Himasthla quissetensis"
ASV_7596	"Golfingia vulgaris"
ASV_3652	"Nephasoma rimicola"
ASV_1376	"Notocelis gullmarensis"
ASV_1782	"Notocelis gullmarensis"
ASV_1389	"Actiniidae"
ASV_5648	"Actiniidae"
ASV_641	"Actinia"
ASV_17285	"Urticina"
ASV_496	"Sagartiidae"
ASV_932	"Sagartiidae"
ASV_11711	"Cervera atlantica"
ASV_15549	"Candelabrum cocksii"
ASV_11987	"Ectopleura dumortierii"
ASV_11780	"Cladonema pacificum"
ASV_13753	"Coryne pusilla"
ASV_7154	"Bougainvillia muscus"
ASV_8170	"Lizzia blondina"
ASV_5067	"Rhizorhagium arenosum"
ASV_16828	"Clava multicornis"
ASV_17653	"Turritopsis nutricula"
ASV_2231	"Amphinema dinema"
ASV_12951	"Leuckartiara nobilis"
ASV_82	"Leptothecata"
ASV_4024	"Leptothecata"
ASV_8658	"Halopteris diaphana"
ASV_1498	"Kirchenpaueria pinnata"
ASV_2275	"Kirchenpaueria pinnata"
ASV_2600	"Kirchenpaueria pinnata"
ASV_3927	"Kirchenpaueria pinnata"
ASV_2073	"Clytia hemisphaerica"
