ASV_11670	"Pseudonychocamptus spinifer"
ASV_1519	"Longipedia sp. DZMB181"
ASV_2595	"Longipedia sp. DZMB181"
ASV_2118	"Longipedia sp. DZMB181"
ASV_2614	"Haloschizopera pygmaea"
ASV_2097	"Ditrichocorycaeus anglicus"
ASV_3115	"Ditrichocorycaeus anglicus"
ASV_5292	"Oncaea"
ASV_2023	"Oncaea waldemari"
ASV_2208	"Oncaea waldemari"
ASV_5433	"Pisidia longicornis"
ASV_20139	"Pisidia longicornis"
ASV_12562	"Pisidia longicornis"
ASV_4717	"Porcellana platycheles"
ASV_2092	"Cancer pagurus"
ASV_6161	"Pilumnus hirtellus"
ASV_638	"Portunoidea"
ASV_5988	"Portunoidea"
ASV_125	"Carcinus maenas"
ASV_433	"Carcinus maenas"
ASV_817	"Carcinus maenas"
ASV_1479	"Carcinus maenas"
ASV_2461	"Carcinus maenas"
ASV_5625	"Carcinus maenas"
ASV_5853	"Carcinus maenas"
ASV_5875	"Carcinus maenas"
ASV_6449	"Carcinus maenas"
ASV_6897	"Carcinus maenas"
ASV_7089	"Carcinus maenas"
ASV_15933	"Carcinus maenas"
ASV_1640	"Carcinus maenas"
ASV_2086	"Carcinus maenas"
ASV_6128	"Carcinus maenas"
ASV_6400	"Carcinus maenas"
ASV_6538	"Carcinus maenas"
ASV_6149	"Polybiidae"
ASV_13099	"Liocarcinus marmoreus"
ASV_998	"Necora puber"
ASV_1796	"Necora puber"
ASV_4080	"Necora puber"
ASV_5777	"Xanthidae"
ASV_11929	"Xanthidae"
ASV_8520	"Xanthidae"
ASV_10564	"Xanthidae"
ASV_1649	"Monodaeus couchii"
ASV_76	"Monodaeus couchii"
ASV_2974	"Monodaeus couchii"
ASV_12283	"Xantho hydrophilus"
ASV_18558	"Xantho pilipes"
ASV_7711	"Hippolyte varians"
ASV_9311	"Hippolyte varians"
ASV_5483	"Palaemon elegans"
ASV_9695	"Palaemon elegans"
ASV_2680	"Palaemon elegans"
ASV_5912	"Palaemon elegans"
ASV_6646	"Palaemon elegans"
ASV_17206	"Palaemon elegans"
ASV_10403	"Palaemon serratus"
ASV_11268	"Palaemon serratus"
ASV_19677	"Atylus swammerdami"
ASV_8874	"Atylus swammerdami"
ASV_15930	"Atylus swammerdami"
ASV_18818	"Atylus swammerdami"
ASV_8518	"Dexamine spinosa"
ASV_10901	"Caprella acanthifera"
ASV_3509	"Caprella penantis"
ASV_1890	"Caprella penantis"
ASV_13874	"Phtisica marina"
ASV_1239	"Jassa falcata"
ASV_2195	"Jassa falcata"
ASV_18569	"Jassa falcata"
ASV_944	"Jassa falcata"
ASV_5636	"Jassa falcata"
ASV_18936	"Jassa falcata"
