ASV_1146	"Cryptocotyle lingua"
ASV_4911	"Nephasoma rimicola"
ASV_85	"Notocelis gullmarensis"
ASV_1448	"Cnidaria"
ASV_2846	"Actiniidae"
ASV_98	"Coryne pusilla"
ASV_3837	"Coryne pusilla"
ASV_2314	"Stauridiosarsia producta"
ASV_706	"Clava multicornis"
ASV_814	"Clava multicornis"
ASV_1436	"Clava multicornis"
ASV_449	"Amphinema dinema"
ASV_2296	"Leuckartiara octona"
ASV_4143	"Leuckartiara octona"
ASV_2510	"Leptothecata"
ASV_2718	"Leptothecata"
ASV_1844	"Gonothyraea loveni"
ASV_1280	"Clytia"
ASV_1924	"Clytia"
ASV_3048	"Clytia"
ASV_5054	"Clytia"
ASV_2620	"Clytia sp. 1 SL-2013"
ASV_36	"Obeliidae"
ASV_477	"Obeliidae"
ASV_720	"Obeliidae"
ASV_4321	"Obeliidae"
ASV_49	"Obelia"
ASV_433	"Obelia"
ASV_2888	"Obelia"
ASV_5159	"Obelia"
ASV_3701	"Plumularia setacea"
ASV_744	"Dynamena pumila"
ASV_5515	"Cyanea"
ASV_1933	"Haliclystus octoradiatus"
ASV_5003	"Haplosclerida"
ASV_1918	"Haliclona sp. 1 PRT-2020"
ASV_2572	"Gelliodes"
ASV_4362	"Phorbas dives"
ASV_479	"Halichondria bowerbanki"
ASV_246	"Halichondria panicea"
ASV_878	"Halichondria panicea"
ASV_1904	"Halichondria sp. USNM IZ 1517735"
ASV_38	"Hymeniacidon"
ASV_790	"Protosuberites denhartogi"
ASV_4691	"Oscarella"
ASV_3384	"Bangiaceae"
ASV_1797	"Neoporphyra haitanensis"
ASV_2549	"Neoporphyra haitanensis"
ASV_1015	"Porphyra"
ASV_3983	"Porphyra"
ASV_5664	"Porphyra"
ASV_3124	"Porphyra dioica"
ASV_270	"Pyropia leucosticta"
ASV_2561	"Wildemania amplissima"
ASV_508	"Corallinales"
ASV_1855	"Corallinales"
ASV_1120	"Corallina"
ASV_1048	"Phymatolithon"
ASV_2686	"Phymatolithon lenormandii"
ASV_187	"Acrochaetium secundatum"
ASV_2994	"Acrochaetium secundatum"
ASV_4043	"Acrochaetium secundatum"
ASV_3575	"Palmaria palmata"
ASV_4510	"Bonnemaisonia hamifera"
ASV_2038	"Ceramiales"
ASV_1666	"Callithamnion tetragonum"
ASV_2072	"Ceramium pallidum"
ASV_425	"Ceramium secundatum"
ASV_1080	"Ceramium secundatum"
ASV_806	"unclassified Ceramium"
ASV_219	"Ceramium sp. LLG-2014"
ASV_496	"Ceramium sp. LLG-2014"
ASV_5451	"Ptilota gunneri"
ASV_4811	"Dasyaceae"
ASV_4319	"Dasysiphonia japonica"
ASV_1765	"Delesseriaceae"
ASV_3226	"Cryptopleura ramosa"
ASV_4194	"Cryptopleura ramosa"
ASV_1981	"Nitophyllum punctatum"
ASV_1524	"Phycodrys rubens"
ASV_4371	"Polyneura sp. LLG-2014"
ASV_3075	"Osmundea"
ASV_1902	"Osmundea oederi"
ASV_3097	"Osmundea oederi"
ASV_183	"Osmundea pinnatifida"
ASV_4038	"Osmundea pinnatifida"
ASV_3372	"Polysiphonioideae"
ASV_527	"Leptosiphonia brodiei"
ASV_569	"Leptosiphonia fibrillosa"
ASV_1074	"Melanothamnus harveyi"
ASV_4931	"Polysiphonia"
ASV_5450	"Vertebrata lanosa"
ASV_5331	"Catenella caespitosa"
ASV_637	"Caulacanthus okamurae"
ASV_2577	"Cystoclonium purpureum"
ASV_102	"Dumontia contorta"
ASV_2691	"Dumontia contorta"
ASV_100	"Chondrus crispus"
ASV_218	"Chondrus crispus"
ASV_545	"Chondrus crispus"
ASV_4745	"Chondrus crispus"
ASV_2254	"Mastocarpus stellatus"
ASV_2567	"Mastocarpus stellatus"
ASV_2935	"Mastocarpus stellatus"
ASV_1945	"Polyides rotunda"
ASV_3909	"Kappaphycus sp. 'Hainan'"
ASV_1538	"Plocamium lyngbyanum"
ASV_5379	"Chylocladia verticillata"
ASV_2574	"Lomentaria articulata"
ASV_2628	"Lomentaria articulata"
ASV_1437	"Lomentaria sp. 1Norway"
ASV_16	"Dinophyceae"
ASV_51	"Dinophyceae"
ASV_72	"Dinophyceae"
ASV_140	"Dinophyceae"
ASV_144	"Dinophyceae"
ASV_243	"Dinophyceae"
ASV_365	"Dinophyceae"
ASV_423	"Dinophyceae"
ASV_509	"Dinophyceae"
ASV_541	"Dinophyceae"
ASV_653	"Dinophyceae"
ASV_700	"Dinophyceae"
ASV_921	"Dinophyceae"
ASV_1368	"Dinophyceae"
ASV_1582	"Dinophyceae"
ASV_1611	"Dinophyceae"
ASV_2193	"Dinophyceae"
ASV_2492	"Dinophyceae"
ASV_2750	"Dinophyceae"
ASV_3241	"Dinophyceae"
ASV_4990	"Dinophyceae"
ASV_672	"Levanderina fissa"
ASV_232	"Dinophysis"
ASV_125	"uncultured dinoflagellate"
ASV_208	"uncultured dinoflagellate"
ASV_448	"uncultured dinoflagellate"
ASV_463	"uncultured dinoflagellate"
ASV_574	"uncultured dinoflagellate"
ASV_853	"uncultured dinoflagellate"
ASV_2369	"uncultured dinoflagellate"
ASV_2438	"uncultured dinoflagellate"
ASV_2760	"uncultured dinoflagellate"
ASV_3503	"uncultured dinoflagellate"
ASV_4040	"uncultured dinoflagellate"
